word,count
缺,45
弓,45
芒,45
借,45
挥,45
矢,45
骇,45
巨,45
松,45
妻,45
禄,45
昭,45
崩,45
矩,45
父,44
渴,44
象,44
领,44
包,44
样,44
摧,44
荆,44
药,44
犯,44
锋,44
辉,44
跃,44
鹰,44
窃,44
昧,43
悔,43
儒,43
诸,43
孙,43
俯,43
腰,43
肆,43
染,43
奋,43
差,43
绵,43
略,43
漫,43
软,43
党,42
戏,42
珍,42
困,42
踪,42
察,42
箭,42
灯,42
拜,42
话,42
虫,42
愚,42
卑,42
躬,42
朋,42
旦,42
尔,42
逾,42
桂,42
显,42
沸,42
托,42
赫,42
杜,42
琴,42
隔,42
险,41
斤,41
探,41
拉,41
抽,41
赴,41
伐,41
拾,41
斯,41
敢,41
祖,41
翠,41
撞,41
罚,41
刑,41
慎,41
告,40
骂,40
顶,40
怜,40
恭,40
状,40
骥,40
送,40
巴,40
丁,40
川,40
毒,40
孔,40
史,40
髓,40
响,40
池,40
优,40
脱,40
圣,40
拥,40
豆,40
诗,40
矫,40
宾,39
迭,39
叠,39
永,39
现,39
愤,39
窗,39
芳,39
吉,39
兽,39
务,39
耻,39
衔,39
跳,39
诛,39
委,39
凶,39
政,39
忙,39
须,39
镂,39
秦,39
瘦,39
案,38
枪,38
参,38
敝,38
效,38
痴,38
缩,38
艰,38
甚,38
驱,38
骄,38
卓,38
莺,38
米,38
提,38
延,38
轮,37
适,37
丘,37
童,37
禁,37
柱,37
唱,37
辨,37
筋,37
饰,37
滴,37
网,37
廉,37
整,37
混,37
弥,36
佛,36
母,36
惜,36
防,36
摸,36
凌,36
爽,36
辩,36
丑,36
佳,36
彼,36
庸,36
尸,36
竖,36
鹿,36
污,36
偃,36
龟,36
误,36
唯,36
砺,36
拖,36
鹄,36
麻,36
夏,36
遥,36
等,36
鼻,35
媚,35
攘,35
肚,35
仙,35
卷,35
刃,35
陵,35
萧,35
誓,35
旋,35
展,35
钻,35
坠,35
次,35
涕,35
锐,35
碌,35
阁,35
遮,35
烦,35
姓,35
便,35
洁,35
诡,35
聋,35
愧,35
勤,35
衰,35
船,35
沾,35
吟,35
注,35
骑,35
摩,35
铜,35
宁,34
界,34
茅,34
玩,34
冥,34
境,34
位,34
茂,34
鞭,34
驾,34
标,34
壶,34
惑,34
拘,34
抹,34
剖,34
篇,34
惨,34
丽,34
抵,34
续,34
太,33
班,33
壑,33
板,33
苍,33
忌,33
霞,33
宽,33
碧,33
滚,33
慌,33
即,33
线,33
设,33
冬,33
扯,33
釜,33
栋,33
停,33
浑,33
增,33
惹,33
保,32
场,32
钱,32
稳,32
团,32
稀,32
阔,32
慢,32
堪,32
完,32
羹,32
粟,32
被,32
蒙,32
耕,32
夷,32
埋,32
趣,32
壤,32
麟,32
睹,32
典,32
犹,32
际,32
术,32
列,32
玄,32
襟,32
添,32
授,32
琼,32
宵,32
降,32
损,32
熊,32
吠,32
职,32
韬,32
戚,31
邦,31
胎,31
献,31
郎,31
鉴,31
堕,31
挑,31
阵,31
斧,31
技,31
宫,31
恋,31
充,31
号,31
毕,31
肺,31
拨,31
涌,31
料,31
冒,31
羁,31
腐,31
科,31
浊,31
泛,31
晨,31
撒,31
妆,31
震,31
蝶,31
跌,31
栖,31
邻,31
压,31
愿,31
悦,31
专,30
昂,30
伸,30
刮,30
援,30
丈,30
股,30
获,30
具,30
衡,30
宇,30
环,30
让,30
拱,30
额,30
研,30
边,30
径,30
鬓,30
诈,30
瞻,30
矜,30
孝,30
绪,30
卵,30
种,30
啼,30
乖,30
初,30
忽,30
悠,30
钩,30
砥,30
突,30
银,30
盲,30
慈,29
籍,29
茹,29
搜,29
盟,29
匿,29
律,29
虐,29
寄,29
惠,29
歪,29
蔽,29
鹊,29
偏,29
偶,29
臭,29
逃,29
痒,29
否,29
激,29
郁,29
妖,29
戒,29
簪,29
豕,29
棘,29
袭,29
沥,29
鲁,29
浩,29
猛,29
陶,29
按,28
醋,28
府,28
劫,28
腮,28
汉,28
圭,28
读,28
品,28
兄,28
倍,28
截,28
熟,28
缓,28
暖,28
朴,28
赃,28
膝,28
陋,28
谢,28
慨,28
聪,28
秉,28
疆,28
勃,28
芥,28
轩,28
净,28
勿,28
架,28
炊,28
程,28
崇,28
涯,28
彰,28
乔,28
鲜,28
晚,28
捐,28
讨,28
脉,28
尚,28
滔,28
怡,28
叫,27
霄,27
掷,27
抚,27
杨,27
缕,27
傍,27
介,27
阙,27
摘,27
藉,27
垒,27
宠,27
殚,27
肘,27
椎,27
驴,27
硕,27
俭,27
讳,27
省,27
仪,27
沟,27
祥,27
几,27
蝉,27
亭,27
乾,27
罔,27
州,27
庆,27
陷,27
茫,27
扇,27
铢,27
浆,27
扑,27
瑟,27
付,27
斩,27
饿,26
恤,26
隅,26
晦,26
翔,26
轨,26
涉,26
商,26
捷,26
坏,26
陆,26
窜,26
瓮,26
填,26
局,26
润,26
颈,26
缠,26
烧,26
